PM2.5 시도별 대기정보,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2020/01/31,21,17,20,24,32,27,11,26,15,29,34,28,27,14,18,21,28
2020/01/30,10,10,10,11,26,15,8,11,10,14,20,21,22,9,9,26,13
2020/01/29,8,10,12,8,18,12,8,9,9,12,13,13,10,9,8,6,9
2020/01/28,6,6,7,5,9,9,5,5,6,9,11,9,6,6,4,6,7
2020/01/27,5,4,3,4,3,3,3,3,5,5,6,4,3,4,2,5,2
2020/01/26,19,7,11,23,27,18,6,21,12,22,34,34,23,9,9,9,29
2020/01/25,37,11,12,31,39,36,8,40,18,43,62,57,30,12,14,15,57
2020/01/24,51,24,31,43,48,48,26,53,33,60,57,50,34,30,25,31,58
2020/01/23,41,16,35,38,19,30,15,42,25,35,42,29,16,22,17,15,38
2020/01/22,28,25,44,29,20,29,23,33,21,36,37,32,18,27,26,11,40
2020/01/21,25,19,20,26,16,19,16,28,20,24,26,19,13,18,15,12,21
2020/01/20,29,42,38,22,50,27,39,32,32,37,29,36,34,33,33,39,32
2020/01/19,47,35,41,45,56,36,31,50,42,49,53,56,47,37,35,49,43
2020/01/18,40,21,32,34,26,29,23,43,28,42,30,35,18,27,22,14,36
2020/01/17,36,22,33,35,22,31,17,40,23,40,35,29,16,23,20,13,39
2020/01/16,28,23,24,24,20,23,19,30,21,33,27,25,17,22,17,13,29
2020/01/15,25,26,27,25,28,23,21,26,20,30,24,26,19,24,21,14,26
2020/01/14,21,22,23,19,17,19,16,23,15,24,23,21,15,17,17,17,24
2020/01/13,17,14,13,12,10,11,10,15,16,14,12,10,9,12,10,15,10
2020/01/12,33,30,24,24,12,17,25,32,39,30,20,17,12,26,21,16,21
2020/01/11,40,33,38,36,36,34,27,43,40,50,36,39,29,32,29,26,43
2020/01/10,48,28,34,48,25,34,27,51,34,51,40,33,22,32,24,15,43
2020/01/09,39,22,28,35,22,29,20,38,31,35,32,25,20,26,20,22,29
