PM10 시도별 대기정보,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2019-10-31,        84,        36,        45,        87,        60,        51,        32,        89,        71,        60,        63,        50,        42,        46,        39,        39,        53
2019-10-30,        27,        42,        35,        28,        32,        32,        42,        31,        32,        35,        33,        33,        25,        39,        40,        31,        30
2019-10-29,        96,        97,        85,       102,        72,        68,       110,        95,        83,        72,        83,        70,        74,        96,       102,        90,        63
2019-10-28,        31,        27,        35,        32,        39,        34,        29,        38,        34,        43,        37,        35,        27,        36,        32,        22,        38
2019-10-27,        25,        20,        21,        22,        27,        27,        20,        30,        28,        35,        34,        27,        18,        25,        24,        22,        30
2019-10-26,        24,        29,        27,        22,        30,        26,        28,        27,        26,        30,        29,        28,        25,        31,        30,        32,        27
2019-10-25,        25,        20,        20,        26,        34,        28,        22,        31,        24,        31,        35,        31,        24,        25,        23,        33,        35
2019-10-24,        27,        19,        26,        33,        32,        25,        18,        33,        29,        32,        40,        31,        29,        27,        28,        32,        38
2019-10-23,        23,        25,        31,        33,        34,        24,        27,        34,        28,        32,        38,        32,        27,        31,        30,        30,        40
2019-10-22,        39,        21,        22,        53,        33,        22,        19,        49,        30,        30,        43,        29,        24,        23,        25,        28,        32
2019-10-21,        42,        17,        25,        53,        35,        30,        16,        51,        29,        40,        58,        39,        28,        23,        25,        26,        42
2019-10-20,        37,        17,        25,        43,        38,        29,        15,        42,        22,        39,        46,        40,        27,        23,        24,        29,        38
2019-10-19,        22,        15,        15,        26,        26,        21,        14,        28,        17,        27,        35,        28,        19,        17,        17,        28,        28
2019-10-18,        17,        15,        22,        24,        25,        19,        15,        24,        20,        27,        31,        30,        22,        24,        20,        21,        28
2019-10-17,        29,        20,        27,        39,        49,        36,        19,        40,        25,        40,        56,        53,        31,        26,        32,        30,        31
2019-10-16,        28,        22,        27,        35,        41,        26,        20,        35,        20,        32,        41,        40,        27,        24,        28,        26,        28
2019-10-15,        20,        24,        23,        28,        40,        24,        22,        30,        15,        26,        37,        39,        27,        24,        29,        33,        28
2019-10-14,        34,        30,        30,        39,        37,        30,        27,        40,        26,        34,        36,        35,        29,        30,        32,        36,        32
2019-10-13,        20,        27,        22,        23,        28,        20,        26,        25,        23,        24,        29,        27,        23,        28,        27,        36,        23
2019-10-12,        24,        35,        26,        27,        34,        27,        37,        29,        29,        29,        34,        33,        28,        39,        32,        34,        30
2019-10-11,        35,        29,        26,        43,        49,        43,        26,        42,        27,        40,        60,        53,        32,        30,        30,        28,        47
2019-10-10,        30,        35,        28,        36,        29,        36,        35,        39,        24,        44,        41,        31,        25,        28,        31,        23,        41
2019-10-09,        24,        29,        24,        25,        24,        23,        29,        29,        20,        27,        28,        25,        19,        26,        26,        21,        27
2019-10-08,        23,        25,        25,        25,        30,        25,        23,        27,        21,        28,        28,        28,        22,        26,        28,        28,        22
2019-10-07,        11,        18,        18,        12,        19,        12,        18,        12,        15,        14,        14,        16,        15,        19,        21,        23,        13
2019-10-06,        11,        19,        17,        13,        26,        13,        19,        13,        16,        13,        18,        22,        21,        19,        23,        28,        13
2019-10-05,        38,        32,        33,        34,        49,        45,        30,        41,        26,        45,        40,        42,        35,        36,        39,        48,        42
2019-10-04,        31,        28,        27,        40,        44,        28,        30,        38,        27,        25,        41,        45,        34,        28,        30,        57,        30
2019-10-03,         9,        19,        11,        12,        24,        10,        14,        11,        13,        10,        19,        23,        18,        12,        16,        52,        13
2019-10-02,        22,        24,        15,        25,         9,        14,        24,        24,        25,        20,        15,        11,        10,        19,        18,,        19
2019-10-01,        45,        23,        37,        63,        30,        37,        37,        59,        35,        46,        50,        39,        19,        44,        26,        19,        44
2019-11-30,        46,        25,        43,        54,        32,        42,        24,        54,        29,        48,        46,        37,        26,        36,        29,        20,        47
2019-11-29,        45,        21,        26,        39,        24,        35,        19,        49,        27,        42,        32,        33,        23,        26,        23,        19,        36
2019-11-28,        37,        16,        33,        39,        43,        45,        15,        43,        22,        46,        45,        48,        30,        27,        25,        36,        46
2019-11-27,        41,        29,        33,        40,        38,        40,        26,        45,        30,        42,        42,        38,        28,        33,        30,        26,        38
2019-11-26,        27,        16,        17,        32,        33,        33,        16,        33,        18,        35,        36,        30,        21,        20,        20,        22,        38
2019-11-25,        28,        18,        20,        29,        27,        28,        18,        32,        16,        28,        33,        28,        23,        21,        19,        32,        28
2019-11-24,        30,        30,        41,        34,        31,        28,        31,        34,        28,        35,        35,        35,        26,        35,        35,        28,        34
2019-11-23,        35,        23,        37,        45,        29,        32,        22,        42,        36,        40,        39,        36,        26,        29,        29,        28,        42
2019-11-22,        45,        24,        39,        53,        28,        41,        23,        53,        47,        49,        50,        38,        24,        33,        32,        34,        50
2019-11-21,        38,        22,        38,        47,        26,        46,        23,        49,        37,        52,        49,        38,        22,        31,        26,        21,        49
2019-11-20,        24,        25,        25,        28,        25,        30,        22,        32,        25,        33,        32,        27,        24,        25,        24,        27,        30
2019-11-19,        30,        32,        27,        30,        28,        31,        27,        35,        29,        32,        31,        29,        26,        30,        28,        41,        31
2019-11-18,        75,        44,        52,        71,        75,        73,        40,        86,        65,        74,        76,        68,        64,        58,        46,        70,        80
2019-11-17,        26,        41,        64,        29,        37,        41,        45,        31,        30,        41,        39,        39,        33,        54,        43,        35,        46
2019-11-16,        34,        41,        51,        34,        45,        49,        46,        37,        31,        52,        56,        44,        32,        51,        41,        29,        49
2019-11-15,        24,        39,        45,        28,        39,        36,        40,        29,        26,        40,        39,        34,        31,        40,        37,        38,        34
2019-11-14,        21,        28,        27,        22,        29,        28,        26,        26,        19,        26,        30,        28,        24,        29,        26,        33,        26
2019-11-13,        34,        38,        44,        36,        42,        34,        38,        40,        30,        45,        41,        37,        30,        41,        36,        28,        43
2019-11-12,        41,        38,        40,        41,        39,        37,        40,        45,        36,        42,        38,        35,        30,        40,        34,        32,        38
2019-11-11,        26,        35,        25,        22,        42,        25,        27,        29,        25,        26,        30,        34,        37,        24,        33,        58,        25
2019-11-10,        40,        29,        39,        39,        46,        37,        29,        45,        32,        51,        45,        43,        35,        41,        34,        35,        50
2019-11-09,        44,        40,        42,        42,        38,        43,        39,        52,        36,        57,        48,        45,        31,        43,        35,        28,        43
2019-11-08,        45,        47,        46,        41,        33,        45,        49,        53,        48,        55,        41,        39,        29,        48,        46,        27,        44
2019-11-07,        51,        41,        40,        49,        48,        43,        40,        57,        46,        52,        49,        47,        35,        43,        42,        38,        43
2019-11-06,        50,        42,        45,        46,        43,        42,        44,        57,        44,        56,        47,        41,        35,        47,        43,        34,        43
2019-11-05,        36,        30,        36,        36,        41,        39,        30,        42,        30,        46,        45,        47,        32,        33,        34,        32,        40
2019-11-04,        16,        22,        22,        17,        48,        27,        21,        20,        18,        24,        32,        47,        31,        23,        29,        33,        27
2019-11-03,        54,        54,        56,        53,        68,        73,        49,        63,        42,        71,        76,        66,        56,        55,        57,        62,        77
2019-11-02,        76,        54,        73,        68,        80,        78,        52,        85,        71,        86,        79,        78,        68,        65,        67,        86,        76
2019-11-01,        92,        94,        90,        82,       116,       104,        97,        95,       101,       101,        87,       102,       120,       106,        93,       164,        87
2019-12-31,        25,        20,        18,        22,        17,        22,        19,        26,        24,        25,        24,        19,        17,        22,        14,        20,        24
2019-12-30,        36,        31,        35,        32,        24,        23,        25,        38,        31,        35,        34,        24,        22,        32,        29,        28,        32
2019-12-29,        44,        43,        58,        44,        35,        44,        44,        49,        47,        50,        46,        40,        32,        49,        40,        23,        57
2019-12-28,        43,        36,        41,        43,        35,        40,        35,        48,        41,        44,        42,        38,        31,        37,        31,        35,        46
2019-12-27,        34,        23,        27,        33,        21,        31,        23,        37,        33,        33,        32,        25,        19,        28,        18,        20,        35
2019-12-26,        47,        36,        45,        48,        36,        44,        31,        52,        40,        50,        48,        39,        31,        36,        31,        26,        53
2019-12-25,        51,        41,        63,        56,        41,        67,        36,        59,        35,        60,        64,        50,        37,        46,        40,        31,        76
2019-12-24,        69,        54,        62,        57,        44,        65,        48,        71,        38,        69,        72,        52,        40,        53,        44,        42,        75
2019-12-23,        51,        52,        61,        43,        46,        44,        48,        54,        47,        56,        48,        44,        41,        55,        46,        40,        52
2019-12-22,        59,        47,        56,        52,        40,        48,        45,        61,        59,        57,        52,        44,        37,        54,        40,        34,        59
2019-12-21,        35,        45,        41,        32,        43,        44,        37,        41,        35,        48,        36,        45,        37,        40,        36,        32,        46
2019-12-20,        29,        32,        32,        27,        30,        34,        29,        34,        30,        36,        32,        32,        25,        32,        26,        33,        37
2019-12-19,        26,        29,        26,        21,        19,        26,        27,        31,        34,        33,        25,        23,        17,        31,        23,        23,        28
