PM10 시도별 대기정보,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2019-12-18,        38,        35,        36,        32,        29,        38,        35,        42,        32,        42,        33,        33,        27,        36,        30,        33,        40
2019-12-17,        28,        39,        51,        28,        32,        34,        41,        32,        27,        41,        33,        28,        28,        43,        41,        30,        42
2019-12-16,        38,        26,        49,        53,        33,        41,        27,        50,        31,        48,        48,        40,        26,        38,        33,        22,        48
2019-12-15,        37,        24,        42,        42,        29,        36,        25,        44,        32,        46,        45,        34,        26,        35,        30,        25,        48
2019-12-14,        39,        38,        39,        36,        30,        35,        36,        44,        39,        45,        40,        36,        29,        40,        39,        33,        37
2019-12-13,        27,        31,        37,        29,        31,        35,        27,        35,        28,        38,        30,        30,        26,        30,        33,        22,        40
2019-12-12,        21,        20,        19,        22,        18,        21,        17,        26,        20,        22,        24,        23,        17,        19,        19,        25,        24
2019-12-11,        74,        57,        74,        69,        67,        65,        53,        78,        70,        78,        69,        59,        51,        71,        55,        53,        86
2019-12-10,       100,        58,        84,       101,        64,        91,        61,       103,        77,        90,        89,        69,        48,        72,        60,        33,        94
2019-12-09,        63,        51,        59,        53,        49,        55,        50,        68,        55,        75,        54,        48,        38,        54,        49,        33,        68
2019-12-08,        55,        40,        48,        52,        35,        48,        42,        62,        45,        61,        51,        41,        30,        49,        39,        30,        57
2019-12-07,        47,        25,        31,        50,        30,        39,        26,        53,        34,        48,        42,        34,        25,        32,        26,        27,        39
2019-12-06,        32,        21,        22,        31,        18,        30,        19,        38,        25,        31,        31,        25,        16,        23,        19,        18,        31
2019-12-05,        22,        31,        28,        22,        26,        24,        29,        25,        19,        24,        25,        25,        25,        27,        29,        29,        24
2019-12-04,        29,        35,        32,        31,        34,        30,        31,        36,        31,        33,        35,        34,        29,        30,        33,        35,        30
2019-12-03,        29,        22,        22,        30,        20,        23,        20,        33,        24,        24,        24,        21,        17,        22,        21,        23,        22
2019-12-02,        22,        20,        22,        21,        20,        24,        18,        24,        21,        26,        26,        24,        18,        23,        19,        24,        22
2019-12-01,        39,        24,        33,        41,        24,        53,        23,        52,        34,        58,        54,        42,        20,        35,        27,        20,        72
